content,reply,input_len,output_len
Solar panel reflection at the blk is glaring into caller's unit at 354 #13. Other solar panels are facing away from nearby blks. Request to check. ,"1.        We received your feedback on the solar panels installed at Blk 352 Choa Chu kang Central._x000D_
2.        We can assure you that the solar panels installed at Blk 352 Choa Chu Kang will cause minimal glare. The panels installed must meet with BCA requirements of having not more than 10% specular reflectance. The reflected light from solar panels will be much diffused and will not caused serious glare into your unit. _x000D_
3.        Thank you for your feedback._x000D_",147,484
"feedback that the unit felt vibrations, suspect caused by the solar panels at the Multistorey carpark","1.        We refer to your feedback on vibrations cause from solar panels.
2.        We have conducted the inspections. We would like to share that there is no solar panel installed at the Multi-Storey Car Park. For XXXX, the solar panels were installed in February this year. For Blk 616, the solar panels were installed in May 2016. Unlike conventional generators, solar panels and systems have no mechanical moving parts that cause vibrations. During the inspection, we did not observe any vibrations.
3.        On 26 October 2019, we also visited your flat. During the visit, you gave feedback that there is an electrostatic charge that can be felt when using your laptop in the study room. The electrostatic charge can be felt only in that particular location in the house as claimed.
4.        Based on our past experience and literature review, electrostatic charge are usually caused by ambient humidity (e.g. dry atmosphere with air-conditioning) or from the machine (i.e. laptop) itself. Moreover, the solar panels are installed on the roof and are properly earthed, and is separated from the study room with walls and ceilings, hence could not contribute to the electrostatic charge observed.
5.        Thank you.
",101,1225
"..............................................................................
From :   XXXXX
To :   XXXXX
CC :  
Subject :   Request for Interview on Solar Panels installation at XXXXX
Delivered on :   15/10/2019 08:37:33 AM
..............................................................................
""XXXXX
				 Your Ref
				 Our Ref
			 Categories
Dear Sir/Madam,
I am XXXXX, a XXXXX. 
My team and I are currently doing a research that studies the installation methods of solar panels on existing buildings, and currently developing a new solution to reduce the problems faced during the installation. We understand that in 2008, HDB conducted its first solar test-bedding project at XXXXX. With this in mind, we would like to ask if we could arrange a short phone interview with you to understand the advantages and drawbacks the installation method in terms of:
	Cost of installation
	Time taken to install the modules, as well as
	Quality of the installation process and maintenance requirements
We sincerely seek your help and hope that you could help us with this request. You may contact me (XXXXX) at XXXXX if you have any queries.
 I look forward to hearing from you. Thank you and have a good day ahead.
Best Regards,
XXXXX
",,1239,0
"..............................................................................
From :  		XXXXX
To :  		hdb_mailbox.hdb.gov.sg
CC :  		XXXXX
Subject :  	Green Initiatives
Delivered on :  	25/10/2019 09:28:04 AM
..............................................................................
XXXXX Your Ref
 Our Ref 
 Categories
To whom it may concern,
I’m XXXXX, a resident of XXXXX, and a concerned citizen of the global environment. I understand that HDB has launched the SolarNova programme to equip public housing flats with solar panels. May I know if there are any plans to roll out this plan to Simei anytime soon? Our town is in close proximity to the airport, without any high-rise buildings, so the shading effect is much minimized in this part of Singapore. Moreover, the east side tend to get more sunlight and less rain compared to other parts of Singapore. So I really hope to see HDB rolling out this programme to Simei soon, just like many other residents.
On this note, I also read from the news recently that HDB will take into account the wind direction and natural greenery in the design of new flats. Ironically, there has been extensive trees pruning in Simei in the recent years, and the bare trees could barely block out any sound or dust from the roads. As a resident staying close to the roads, it has really disrupted my quality of sleep in the last few years. Can I understand if HDB and NParks actually work together to achieve a common goal?
I really hope to hear a honest reply from your side on these matters, and please do not just give me a general response. Thank you.
Regards,
XXXXX","Thank you for expressing your interest to have solar photovoltaic (PV) panels to be implemented in Simei.
We would like to share that as part of the whole-of-government SolarNova initiative which seeks to implement 350MWp of solar panels across public sector buildings by 2020, HDB has been aggregating solar panel demand from the public sector and calling for bulk SolarNova tenders annually to deploy solar panels across our HDB roofs. With the inclusion of our latest SolarNova Phase 4 tender which was awarded in Oct 2019, we have committed 230MWp of solar panels for 4,550 HDB blocks to date, which are progressively being installed with solar panels on the rooftops.
Due to the large number of installations at HDB blocks under SolarNova, it will take some time to progressively cover our HDB blocks with solar panels. For Simei specifically, we have already worked with the Town Council to identify suitable HDB blocks to install the solar PV panels on the rooftop, and will include these blocks in the next phase of SolarNova, and expect the installations to start in 1-2 years.
For the second part on your query on the tree pruning in Simei in the recent years, we will forward your feedback to East Coast – Fengshan Town Council for their kind follow up action as the Town Council is managing the common areas and will have greater visibility to address your feedback. Thank you.
Yours sincerely
 XXXX
 Senior Engineer
 COE for Urban Systems   Smart Services
 Building   Research Institute
------------------------------------------------------------------------------------------------------------------------
From :   XXXX
To :   XXXX
CC :   XXXX
Subject :   Green Initiatives
Delivered on :   25/10/2019 09:28:04 AM
------------------------------------------------------------------------------------------------------------------------
XXXX
				 Your Ref
				 Our Ref
			 Categories
To whom it may concern,
I’m XXXX, a resident of XXXX in Simei, and a concerned citizen of the global environment. I understand that HDB has launched the SolarNova programme to equip public housing flats with solar panels. May I know if there are any plans to roll out this plan to Simei anytime soon? Our town is in close proximity to the airport, without any high-rise buildings, so the shading effect is much minimized in this part of Singapore. Moreover, the east side tend to get more sunlight and less rain compared to other parts of Singapore. So I really hope to see HDB rolling out this programme to Simei soon, just like many other residents.
On this note, I also read from the news recently that HDB will take into account the wind direction and natural greenery in the design of new flats. Ironically, there has been extensive trees pruning in Simei in the recent years, and the bare trees could barely block out any sound or dust from the roads. As a resident staying close to the roads, it has really disrupted my quality of sleep in the last few years. Can I understand if HDB and NParks actually work together to achieve a common goal?
I really hope to hear a honest reply from your side on these matters, and please do not just give me a general response. Thank you.
Regards,
XXXX
",1616,3194
"..............................................................................
From :  		XXXXX
To :  		XXXXX
CC :  		XXXXX
Subject :  	Re: Pasir Ris-Punggol Sunseap SN1 Solar PV Installation (Shutdown Works)
Delivered on :  	11/04/2019 12:14:29 PM
..............................................................................
To officers-in-charge,
We will be arranging shutdown works as follows;
11/11/19 Monday 
XXXXX
12/11/19 Tuesday
XXXXX
Do note the following;
Only common services will be affected. We will paste notices at the respective lift lobbies.
Thank you.
Best Regards,
XXXXX
XXXXXXXXXX
XXXXX
XXXXX
The preceding e-mail message (including any attachments) contains information that may be confidential and/or may constitute non-public information.  It is intended to be conveyed only to the designated recipient(s).  If you are not an intended recipient of this message, please notify the sender by replying to this message and then delete it from your system.  Use, dissemination, distribution, or reproduction of this message by unintended recipients is not authorised and may be unlawful.
Please consider the environment before printing this email.
On 17 Oct 2019, at 11:18, XXXXX  wrote:
To officers-in-charge of Blk 312A to 313C Sumang Link,
We will be carrying out shutdown works as follows;
23 October 2019 (Wednesday)
Blk 312A Sumang Link S821312 - 100A Normal/Non-upgrading
10.00am to 11.00am
Blk 312B Sumang Link S822312 - 100A Normal/Non-upgrading
11.00am to 12.00pm
Blk 313A Sumang Link S821313 - 100A Normal/Non-upgrading
1.00pm to 2.00pm
Blk 312B Sumang Link S822313 - 100A Normal/Non-upgrading
2.00pm to 3.00pm
31 October 2019 (Thursday)
Blk 312C Sumang Link S823312 - 160A Upgrading
10.00am to 12.00pm
Blk 313C Sumang Link S823313 - 160A Upgrading
1.00pm to 3.00pm
Do note the following;
For normal shutdowns, only common services will be affected. We will paste notices (see attached) at the respective lift lobbies.
For upgrading shutdowns, residential units and common services will be affected. Notices will be distributed individually to affected units.
Thank you.
Best Regards,
XXXXX
XXXXXXXXXX
The preceding e-mail message (including any attachments) contains information that may be confidential and/or may constitute non-public information.  It is intended to be conveyed only to the designated recipient(s).  If you are not an intended recipient of this message, please notify the sender by replying to this message and then delete it from your system.  Use, dissemination, distribution, or reproduction of this message by unintended recipients is not authorised and may be unlawful.
Please consider the environment before printing this email.
On 27 Aug 2019, at 10:10, XXXXX  wrote:
To officers-in-charge, 
There are some changes to the schedule. Please not of the revised schedule as follows;
02 September 2019 (Monday)
Blk 612B Punggol Drive S822612 - 63A Normal/Non-upgrading
10.00am to 11.00am
Blk 612D Punggol Drive S824612 - 63A Normal/Non-upgrading
11.00am to 12.00pm
Blk 613A Punggol Drive S821613 - 63A Normal/Non-upgrading
1.00pm to 2.00pm
Blk 601C Punggol Central S823601 - 63A Normal/Non-upgrading
2.00pm to 3.00pm
03 September 2019 (Tuesday)
Blk 207C Punggol Place S823207 - 63A Normal/Non-upgrading
10.00am to 11.00am
Blk 208A Punggol Place S821208 - 63A Normal/Non-upgrading
11.00am to 12.00pm
Blk 208B Punggol Place S822208 - 63A Normal/Non-upgrading
1.00pm to 2.00pm
Blk 208C Punggol Place S823208 - 63A Normal/Non-upgrading
2.00pm to 3.00pm
04 September 2019 (Wednesday)
Blk 210B Punggol Place S822210 - 63A Normal/Non-upgrading
10.00am to 11.00am
Blk 209B Punggol Road S822209 - 63A Normal/Non-upgrading
11.00am to 12.00pm
Blk 209C Punggol Place S823209 - 63A Normal/Non-upgrading
1.00pm to 2.00pm
Blk 204B Punggol Field S822204 - 63A Normal/Non-upgrading
2.00pm to 3.00pm
05 September 2019 (Thursday)
Blk 281A Sengkang East Ave S541281 - 100A Normal/Non-upgrading
10.00am to 11.00am
Blk 282B Sengkang East Ave S542282 - 100A Normal/Non-upgrading
11.00am to 12.00pm
Blk 282C Sengkang East Ave S543282 - 100A Normal/Non-upgrading
1.00pm to 2.00pm
06 September 2019 (Friday)
Blk 260C Punggol Way S823260 - 63A Normal/Non-upgrading
10.00am to 11.00am
Blk 261C Punggol Way S823261 - 63A Normal/Non-upgrading
11.00am to 12.00pm
09 September 2019 (Monday)
Blk 622B Punggol Central S822622 - 63A Normal/Non-upgrading
10.00am to 11.00am
Blk 622C Punggol Central S823622 - 63A Normal/Non-upgrading
11.00am to 12.00pm
Thank you. 
Best Regards, 
XXXXX
XXXXX
On 23 Aug 2019, at 16:00, XXXXX  wrote:
To officers-in-charge, 
We will be carrying out shutdown works as follows;
02 September 2019 (Monday)
Blk 622B Punggol Central S822622 - 63A Normal/Non-upgrading
10.00am to 11.00am
Blk 622C Punggol Central S823622 - 63A Normal/Non-upgrading
11.00am to 12.00pm
Blk 612B Punggol Drive S822612 - 63A Normal/Non-upgrading
1.00pm to 2.00pm
Blk 612D Punggol Drive S824612 - 63A Normal/Non-upgrading
2.00pm to 3.00pm
Blk 613A Punggol Drive S821613 - 63A Normal/Non-upgrading
3.00pm to 4.00pm
03 September 2019 (Tuesday)
Blk 207C Punggol Place S823207 - 63A Normal/Non-upgrading
10.00am to 11.00am
Blk 208A Punggol Place S821208 - 63A Normal/Non-upgrading
11.00am to 12.00pm
Blk 208B Punggol Place S822208 - 63A Normal/Non-upgrading
1.00pm to 2.00pm
Blk 208C Punggol Place S823208 - 63A Normal/Non-upgrading
2.00pm to 3.00pm
Blk 209B Punggol Road S822209 - 63A Normal/Non-upgrading
3.00pm to 4.00pm
04 September 2019 (Wednesday)
Blk 209C Punggol Place S823209 - 63A Normal/Non-upgrading
10.00am to 11.00am
Blk 210B Punggol Place S822210 - 63A Normal/Non-upgrading
11.00am to 12.00pm
Blk 281A Sengkang East Ave S541281 - 100A Normal/Non-upgrading
1.00pm to 2.00pm
Blk 282B Sengkang East Ave S542282 - 100A Normal/Non-upgrading
2.00pm to 3.00pm
Blk 282C Sengkang East Ave S543282 - 100A Normal/Non-upgrading
3.00pm to 4.00pm
05 September 2019 (Thursday)
Blk 260C Punggol Way S823260 - 63A Normal/Non-upgrading
10.00am to 11.00am
Blk 261C Punggol Way S823261 - 63A Normal/Non-upgrading
11.00am to 12.00pm
Blk 204B Punggol Field S822204 - 63A Normal/Non-upgrading
1.00pm to 2.00pm
Blk 601C Punggol Central S823601 - 63A Normal/Non-upgrading
2.00pm to 3.00pm
Do note the following;
For non-upgrading shutdowns, only common services will be affected. We will paste notices (see attached) at the respective lift lobbies.
Thank you. 
Best Regards, 
XXXXX
XXXXXOn 29 Jul 2019, at 10:50, XXXXX  wrote:
To officers-in-charge, 
We will be carrying shutdown works for our solar PV installation as follows;
01 August 2019 (Thursday)
Blk 259C Punggol Field S823259 - 160A Upgrading
10.00am to 12.00pm
Blk 289C Punggol Place S823289 - 160A Upgrading
1.00pm to 3.00pm
Blk 603C Punggol Road S823603 - 63A Normal/Non-upgrading
3.30pm to 4.30pm
Do note the following;
For non-upgrading shutdowns, only common services will be affected. We will paste notices (see attached) at the respective lift lobbies.
For upgrading shutdowns, residential units and common services will be affected. Notices will be distributed individually to affected units.
Thank you.
Best Regards,
XXXXX
XXXXXOn 8 Jul 2019, at 8:27 AM, XXXXX wrote:
To officers-in-charge, 
We will be carrying shutdown works for our solar PV installation as follows;
15 July 2019
Blk 207D Punggol Place S824207 - 100A Normal/Non-upgrading
10.00am to 11.00am
Blk 210C Punggol Place S823210 - 100A Normal/Non-upgrading
11.00am to 12.00pm
Blk 280A Sengkang East Avenue S541280 - 63A Normal/Non-upgrading
1.00pm to 2.00pm
Blk 280B Sengkang East Avenue S542280 - 63A Normal/Non-upgrading
2.00pm to 3.00pm
16 July 2019
Blk 259B Punggol Field S822259 - 63A Normal/Non-upgrading
10.00am to 11.00am
Blk 261A Punggol Way S821261 - 100A Normal/Non-upgrading
11.00am to 12.00pm
Blk 267C Punggol Field S823267 - 63A Normal/Non-upgrading
1.00pm to 2.00pm
Do note that in the event of non-upgrading shutdowns, only common services will be affected. We will paste notices (see attached) at the respective lift lobbies.
Thank you.
Best Regards,
XXXXXSenior Project Engineer,
XXXXXOn 1 Jul 2019, at 10:42 AM, XXXXX  wrote:
To officers-in-charge, 
We will be carrying shutdown works for our solar PV installation as follows;
08 July 2019 (Monday) 
207A Punggol Place S821207 - 100A Normal/Non-upgrading
10.00am to 11.00am
207B Punggol Place S822207 - 100A Normal/Non-upgrading
11.00am to 12.00pm
209A Punggol Place S821209 - 63A Normal/Non-upgrading
1.00pm to 2.00pm
210A Punggol Place S821210 - 63A Normal/Non-upgrading
2.00pm to 3.00pm
09 July 2019 (Tuesday)
279A Sengkang East Ave S541279 - 63A Normal/Non-upgrading
10.00am to 11.00am
279C Sengkang East Ave S543279 - 100A Normal/Non-upgrading
11.00am to 12.00pm
281B Sengkang East Ave S542281 - 100A Normal/Non-upgrading
1.00pm to 2.00pm
282A Sengkang East Ave S541282 - 100A Normal/Non-upgrading
2.00pm to 3.00pm
Do note that in the event of non-upgrading shutdowns, only common services will be affected. We will paste notices (see attached) at the respective lift lobbies.
Thank you.
Best Regards,
XXXXXXXXXX
On 4 Oct 2018, at 2:05 PM, XXXXX wrote:
To-officers-in-charge,
We will be arranging shutdown works for 5 blocks in Woodlands as follows;
11/10/18 (Thursday)
Blk 271B Punggol Walk 
10am to 11am (Non-upgrading)
Blk 271D Punggol Walk 
11am to 12pm (Non-upgrading)
 Blk 272A Punggol Walk 
1pm to 2pm (Non-upgrading)
Blk 272C Punggol Walk 
2pm to 3pm (Non-upgrading)
Blk 272D Punggol Walk 
3pm to 4pm (Non-upgrading)
Do note that in the event of non-upgrading shutdowns, only common services will be affected. We will paste notices (see attached) at the respective lift lobbies.
Thank you.
Best Regards,
XXXXX
XXXXX 271B.pdf  271D.pdf  272A.pdf  272C.pdf  272D.pdf 
 207A Normal Shutdown.pdf  207B Normal Shutdown.pdf  209A Normal Shutdown.pdf  210A Normal Shutdown.pdf  279A Normal Shutdown.pdf  279C Normal Shutdown.pdf  281B Normal Shutdown.pdf  282A Normal Shutdown.pdf 
 267C Normal Shutdown.pdf  261A Normal Shutdown.pdf  259B Normal Shutdown.pdf  280B Normal Shutdown.pdf  280A Normal Shutdown.pdf  210C Normal Shutdown.pdf  207D Normal Shutdown.pdf 
 259C Upgrading Shutdown.pdf  289C Upgrading Shutdown.pdf  603C Normal Shutdown.pdf 
",,10161,0
"..............................................................................
From :  		 XXXXX
To :  		XXXXX
CC :  		 XXXXX
Subject :  	Feedback on inclusion of solar panels into playgrounds and other outdoor facilities
Delivered on :  	13/11/2019 11:16:10 PM
..............................................................................
 Your Ref
       TEL
 Our Ref 
       FAX
       Email
Categories 
Dear URA, HDB and Nparks QS colleagues
PUB has received the below feedback from a member of the public (MoP). 
2              The 2nd part of the feedback (blue highlighted portion) touches on the design of playgrounds and outdoor facilities, for your agencies’ noting and consideration please.
3              PUB has replied the MoP on the first part of the feedback and informed that we have referred the 2nd part of her feedback to the relevant agencies for consideration. 
Customer Name: XXXXX
Customer E-mail:  XXXXX
Mobile Phone:  XXXXX
Office Phone: XXXXX
Blk / House No: XXXXX
Level No: XXXXX
Unit No: XXXXX
Address: AXXXXX
Description: Dear NEA Feedback,
I just learnt from the news that the solar panels are going to be installed over the two reservoirs.
I am pretty concern how it may harm the natural habitat of the reservoirs i.e. having little to no sunlight passing through the water, which maybe necessary for the water plant to grow normally and as the plants affected, how it would impact the rest of the living things that depend on these plants.
I have kids who love to play in the playgrounds. There is no design in the playground to shade children from the heat of the sun, wouldn't it be better if the solar panels could be built over the playgrounds and other outdoor facilities like the basketball courtsbadminton courts
From A Very Concerned Parent
Thank you.
Regards
XXXXXCatchment and Waterways Department – Quality Service
Description: pub_logo40 Scotts Road #22-01 Environment Building S(228231)
Description: icon_website[IMAGE]Description: icon_facebook[IMAGE]Description: icon_intagram[IMAGE]Description: icon_twitter[IMAGE]Description: icon_youtube[IMAGE]
Confidential information may be in this message. If you are not the intended recipient, please notify the sender and delete the email.
This is a email notification sent from CRM System. No reply required.(See attached file: image001.png)(See attached file: image002.png)(See attached file: image003.png)(See attached file: image004.png)(See attached file: image005.png)(See attached file: image006.png)(See attached file: image007.png)
________________________________
Posted by XXXXX/ on 13/11/2019 11:16:04 PM
","Thank you for your suggestion for HDB to consider building solar photovoltaic (PV) panels over playgrounds and other outdoor facilities to shade the children or residents, who are utilising the facilities, from the heat of the sun.
HDB is currently leading the whole-of-government SolarNova initiative to implement 350MWp of solar PV panels across the public buildings in Singapore by 2020. In HDB blocks, this is done by installing solar PV panels on the rooftops of the block to generate clean solar energy to power the common areas, including the lifts, lights, and water pumps, and this in turn helps to reduce the carbon footprint.
One of the main considerations for solar PV installations is that the area to be installed must be exposed to sufficient sunlight. To share, solar energy generation is very sensitive to shading conditions; even a small amount of shade will cause the solar energy generation to drop significantly. Generally, ground level installations are usually unsuitable for solar PV as there is significant shading from the surrounding blocks and trees most of the time. This will affect the actual amount of solar energy generated, and are usually not cost effective.
Nevertheless, we will continue to strive to implement solar PV in our HDB towns and estates, where technically feasible, in our efforts to drive environmental sustainability. With the advances in solar PV technology and industry expertise, area previously deemed unsuitable for solar PV installation may become possible eventually.
If you require any further clarifications, please contact me at XXXX. Thank you.
",2608,1607
"..............................................................................
From :  		 XXXXX
To :  		 XXXXX
CC :  		 XXXXX
Subject :  	RE: Feedback on inclusion of solar panels into playgrounds and other outdoor facilities
Delivered on :  	15/11/2019 05:24:40 PM
..............................................................................
 Your Ref
       TEL
 Our Ref 
       FAX
       Email
Categories 
Dear PUB Colleagues
We understand that PUB will be addressing the first query relating to the solar panels. 
On the second query relating to the proposed solar panels for playgrounds   outdoor facilities, we like to clarify that the construction of playgrounds and outdoor facilities do not fall within URA’s purview.  HDB/Town Council or NParks may be the relevant agencies to look into the suggestion, which we note that you have since sought their views too.  URA has no further inputs. 
Thank you.
Regards
XXXXXHigher Planning Executive
Physical Planning, North Department
From: XXXXX
Sent: Wednesday, 13 November 2019 11:16 PM
To: XXXXX
Cc: XXXXX
Subject: Feedback on inclusion of solar panels into playgrounds and other outdoor facilities 
Dear URA, HDB and Nparks QS colleagues
PUB has received the below feedback from a member of the public (MoP). 
2              The 2nd part of the feedback (blue highlighted portion) touches on the design of playgrounds and outdoor facilities, for your agencies’ noting and consideration please.
3              PUB has replied the MoP on the first part of the feedback and informed that we have referred the 2nd part of her feedback to the relevant agencies for consideration. 
Customer Name: XXXXX
Customer E-mail:  XXXXX 
Mobile Phone:  XXXXX
Office Phone: XXXXX
Blk / House No: XXXXX
Level No: XXXXX
Unit No: XXXXX
Address: XXXXX
Description: Dear NEA Feedback,
I just learnt from the news that the solar panels are going to be installed over the two reservoirs.
I am pretty concern how it may harm the natural habitat of the reservoirs i.e. having little to no sunlight passing through the water, which maybe necessary for the water plant to grow normally and as the plants affected, how it would impact the rest of the living things that depend on these plants.
I have kids who love to play in the playgrounds. There is no design in the playground to shade children from the heat of the sun, wouldn't it be better if the solar panels could be built over the playgrounds and other outdoor facilities like the basketball courtsbadminton courts
From A Very Concerned Parent
Thank you.
Regards
XXXXX
Catchment and Waterways Department – Quality Service
Description: pub_logo40 Scotts Road #22-01 Environment Building S(228231)
Description: icon_websitecid:image003.png_01D59AEC.FBB4B0E0Description: icon_facebookcid:image003.png_01D59AEC.FBB4B0E0Description: icon_intagramcid:image003.png_01D59AEC.FBB4B0E0Description: icon_twittercid:image003.png_01D59AEC.FBB4B0E0Description: icon_youtubecid:image003.png_01D59AEC.FBB4B0E0
Confidential information may be in this message. If you are not the intended recipient, please notify the sender and delete the email.
This is a email notification sent from CRM System. No reply required.(See attached file: image001.png)(See attached file: image002.png)(See attached file: image008.png)(See attached file: image009.png)(See attached file: image010.png)(See attached file: image011.png)(See attached file: image012.png)
________________________________
Posted by XXXXX/ on 15/11/2019 05:23:28 PM
",,3495,0
"..............................................................................
From :  		XXXXX
To :  		XXXXX
CC :  		XXXXX
Subject :  	261C #17 Punggol Way - damage of heat sensor wire by Solar Panel contractor at lift lobby
Delivered on :  	20/11/2019 03:12:09 PM
..............................................................................
XXXXX
 Your Ref
 Our Ref 
 Categories
Dear XXXXX,
During joint visit with Chevalier lift and our LMU staff on 20/11/19 we discovered the sensor wire was damaged by the Solar Panel contractor. This has resulted in triggering of the 2 lifts to homing mode and causing power trip. The heat sensor system is now bypassed to enable the lifts to work thus compromising the safety consideration in the event of fire. Please arrange for your sub-contractor to repair the wire asap.
Best Regards,
XXXXX
XXXXX***** DISCLAIMER ***** 
""By sending us personal data on or after the date of this email, you acknowledge and agree to the terms as set out in PDPA policy of Pasir Ris - Punggol Town Council at http://www.prpg-tc.org.sg (""Policy""), as amended from time to time. You warrant that where you have disclosed personal data of other individuals, you have obtained the prior consent of such individuals for us and our affiliates, service providers and agents to collect, use and disclose such personal data in accordance with the Policy and any applicable laws, regulations and/or guidelines."" 
This e-mail and any attachments thereto are intended for the sole use of the recipient(s) named above and may contain information that is confidential and/or proprietary to Pasir Ris – Punggol Town Council. Any use of the information contained herein (including, but not limited to, total or partial reproduction, communication, or dissemination in any form) by persons other than the intended recipient(s) is prohibited. If you have received this e-mail in error, please notify the sender immediately and delete it. 
","Thank you for raising this to our attention.
We have concluded our investigations into this feedback, and our solar PV vendor, XXXX, will be taking full responsibility to rectify this damage. Sunseap will be contacting the Town Council to work out a rectification plan.
Thank you.
",1948,281
"From: XXXXX
Sent: XXXXX
To: XXXXX
Cc: XXXXX
Subject: 261C #17 Punggol Way - damage of heat sensor wire by Solar Panel contractor at lift lobby
Dear XXXXX
During joint visit with Chevalier lift and our LMU staff on 20/11/19 we discovered the sensor wire was damaged by the Solar Panel contractor. This has resulted in triggering of the 2 lifts to homing mode and causing power trip. The heat sensor system is now bypassed to enable the lifts to work thus compromising the safety consideration in the event of fire. Please arrange for your sub-contractor to repair the wire asap.
Best Regards,
XXXXXXXXXX
XXXXX***** DISCLAIMER ***** 
""By sending us personal data on or after the date of this email, you acknowledge and agree to the terms as set out in PDPA policy of Pasir Ris - Punggol Town Council at http://www.prpg-tc.org.sg (""Policy""), as amended from time to time. You warrant that where you have disclosed personal data of other individuals, you have obtained the prior consent of such individuals for us and our affiliates, service providers and agents to collect, use and disclose such personal data in accordance with the Policy and any applicable laws, regulations and/or guidelines."" 
This e-mail and any attachments thereto are intended for the sole use of the recipient(s) named above and may contain information that is confidential and/or proprietary to Pasir Ris – Punggol Town Council. Any use of the information contained herein (including, but not limited to, total or partial reproduction, communication, or dissemination in any form) by persons other than the intended recipient(s) is prohibited. If you have received this e-mail in error, please notify the sender immediately and delete it. ",,1712,0
"Hi HDB, we have received feedback from resident regarding no proper road closure signage to direct drivers at the service road along 660A - 660C. The appointed contractor for the said work is from HDB (solar panel project).
For your attention / follow up, please.","1.        Please refer to feedback on road closure due to material hoisting by SemCorp Pte Ltd._x000D_
2.        This case has been dealt with by SembCorp personnel on the day of the material hoisting and the West Coast Town Council has been informed._x000D_
3.        Thank you._x000D_",263,286
Construction works was carried out at the rooftop last week due to that the ceiling cracked at the kitchen toilet. PO pls assist to call back. ,"1.        We received your feedback on the cracked lines in your kitchen toilet at XXXX
2.        We hace notified the contractor, Sembcorp Solar Pte Ltd, that is carrying out the solar installation work on the rooftop. They have visited your unit and acknowledged the cracked line in the kitchen toilet. They will follow up with repair work to your unit kitchen toilet in due time.
3.        If you need further clarifications, you may contact me at XXXX.
4.        Thank you.
",143,478
"Resident is very frustrated by the on-going works on the roof since July, she would like the OIC to inform the contractors to keep the noise down and show some consideration to the residents ","1.            Please refer to your feedback on noise caused by solar installation works at XXXX.
2.        The installation works was still ongoing on when we visited the site on 23/12/2019. As in any construction works, some level of noise can be expected. We have advised the Supervisor on site to keep the noise level to the minimum.
3.        The works at Blk 208C Punggol Walk has since been completed.
4.        Nevertheless, we would like to apologise for the inconvenience caused by the solar works.
",191,508
"CallTeamNEA- XXXX 
Caller feedback on construction noise at roof top at 208C Punggol Place Singapore 823208. Caller mentioned that the work done at the roof top is going too loud and she is unable to take the noise level as the noise is from early morning to night. Caller mentioned she call TC and HDB many times, but no actions have been taken. Caller request for NEA officer to do a check and to assist and ask them to stop the work. 
Please kindly assist. 
Thank you.","1.        Please refer to your feedback on noise caused by solar installation works at Blk 208C Punngol Place._x000D_
2.       The installtion works was still going on when we visited the site on 23/12/2019. As in any construction works, some level of noise can be expected. We have advised the Supervisor on site to keep the noise level to the minimum._x000D_
3.        The works at Blk 208C Punggol Walk has been completed last week._x000D_
4.        Nevertheless, we would like to apologise for the inconvenience caused by the solar works._x000D_",471,549
"..............................................................................
From :  		 XXXXX
To :  		XXXXX
CC :  		 XXXXX
Subject :  	A191227-000014-01
Delivered on :  	31/12/2019 10:30:10 AM
..............................................................................
 Your Ref
       TEL
 Our Ref 
       FAX
       Email
Categories 
Hi XXXXX
We refer to the MR case sent to HDB on 27 December 2019. Would appreciate HDB’s early acceptance of this matter, please.
Thank you.
XXXXX• Senior Executive • Pollution Control Department • National Environment Agency • DID : XXXXX • Fax : XXXXX • Email : XXXXX
Find out more about how we can work together to sustain Singapore’s clean and green environment at www.nea.gov.sg. This message may contain confidential information under the purview of the Official Secrets Act. Unauthorized communication or disclosure of such information is an offence under the Official Secrets Act. If you are not the intended recipient of this message, please notify the sender and delete it. Do not retain it or disclose the contents to any person, as it may be an offence under the Official Secrets Act.
Please consider the environment before printing this email
________________________________
Posted by XXXXX/ on 31/12/2019 10:29:30 AM
","1.        Please refer to your feedback on noise at Blk 208C Punggol Place._x000D_
2.        The case have been attended to and installation works has since been completed,_x000D_
3.        Thank you._x000D_",1273,207
